"cv_0","pa","lon","lat","wc2.1_10m_bio_10","wc2.1_10m_bio_15","wc2.1_10m_bio_16","wc2.1_10m_bio_18","wc2.1_10m_bio_19","wc2.1_10m_bio_2","wc2.1_10m_bio_3"
2,1,-40.733333,-8.916667,26.6104164123535,94.125358581543,265,124,9,12.8000831604004,77.3722763061523
1,1,-42.7525,-12.820833,25.126708984375,89.4821090698242,425,223,14,13.1506671905518,72.8407363891602
2,1,-41.816667,-13.75,24.1100845336914,87.7413711547852,349,316,15,11.7685832977295,71.5078506469727
3,1,-41.115833,-13.970833,24.5579586029053,76.813835144043,310,242,31,10.0346460342407,72.1916961669922
1,1,-41.7,-13.283333,21.5332489013672,66.3767700195312,431,372,66,11.9974994659424,72.1480560302734
1,1,-41.269722,-11.646667,20.9343338012695,48.8267211914062,295,269,106,10.2120628356934,71.5731887817383
3,1,-40.028333,-10.731111,25.7030410766602,43.0620498657227,257,249,126,11.2921047210693,72.8076629638672
3,1,-39.833056,-8.920833,25.8289165496826,97.8681030273438,244,188,14,11.6822500228882,72.262092590332
1,1,-41.233056,-11.388056,21.1846237182617,59.4501724243164,287,254,69,10.1781044006348,71.9872970581055
3,1,-41.263333,-11.242222,21.7379169464111,70.4126129150391,274,237,38,10.6032075881958,72.1122741699219
2,1,-41.331389,-10.505833,22.7354583740234,77.3660049438477,255,239,25,11.7873125076294,73.6499938964844
3,1,-40.278056,-14.346389,21.7220840454102,58.0485153198242,299,227,77,8.5448751449585,65.4528884887695
1,1,-40.301389,-9.848056,25.2466239929199,83.6023712158203,255,233,20,11.5994787216187,72.5625
2,1,-41.339167,-11.493611,23.1736660003662,83.4930267333984,292,247,15,11.5111875534058,72.9040679931641
1,0,-39.083333333054,-7.58333333277659,25.3000831604004,94.6797866821289,525,230,54,10.4190835952759,70.3291168212891
3,0,-40.583333333066,-9.91666666612979,25.0702495574951,89.8620376586914,237,225,8,12.0172500610352,74.3032531738281
2,0,-40.916666666402,-8.41666666611702,26.0167922973633,92.6499252319336,304,148,10,13.0737085342407,77.1913681030273
1,0,-40.583333333066,-10.9166666661383,23.0587921142578,45.0532417297363,275,271,126,10.6848754882812,72.3160400390625
3,0,-40.416666666398,-7.08333333277234,26.4115409851074,104.563270568848,399,88,45,10.6741037368774,73.0240325927734
1,0,-41.583333333074,-8.91666666612127,26.6502494812012,90.6193084716797,280,164,7,13.8098745346069,78.5209579467773
3,0,-44.083333333094,-11.7499999994787,26.2641658782959,89.1863098144531,477,240,4,14.8346252441406,70.5814056396484
2,0,-41.749999999742,-9.58333333279361,27.316333770752,94.9988021850586,312,187,2,13.1275625228882,78.4027557373047
2,0,-39.249999999722,-8.24999999944894,26.0402088165283,98.5654754638672,352,154,28,10.5766458511353,67.6245346069336
2,0,-39.916666666394,-6.91666666610425,26.798957824707,104.190826416016,489,93,74,10.4793748855591,74.3600463867188
1,0,-39.583333333058,-8.74999999945319,26.1300830841064,102.25456237793,269,127,14,11.2703742980957,69.8797225952148
2,0,-41.583333333074,-7.74999999944468,28.0652503967285,106.195114135742,530,189,7,12.8844795227051,76.9050445556641
3,0,-44.083333333094,-11.4166666661426,26.236457824707,88.5757217407227,459,223,4,15.1629581451416,69.4855270385742
1,0,-39.083333333054,-9.91666666612979,25.4435405731201,62.8922729492188,214,176,63,11.1525211334229,69.6249313354492
3,0,-43.083333333086,-11.4166666661426,26.003833770752,88.3508453369141,398,191,6,13.7006874084473,78.6029281616211
3,0,-42.74999999975,-15.7499999995128,21.6342086791992,93.1212005615234,554,376,17,12.2652292251587,71.3582229614258
1,0,-38.416666666382,-8.74999999945319,26.2910423278809,97.4050979614258,245,137,23,11.0212287902832,69.7314453125
2,0,-41.249999999738,-13.9166666661638,23.1138343811035,71.6378173828125,311,245,41,10.4345836639404,71.5444793701172
3,0,-41.583333333074,-15.2499999995085,22.0686664581299,87.8555603027344,456,293,24,11.2897081375122,69.9258804321289
1,0,-42.916666666418,-11.5833333328106,25.5072498321533,88.3786087036133,444,222,3,13.2848539352417,75.2395248413086
2,0,-44.41666666643,-13.7499999994957,24.7613334655762,97.9685668945312,533,274,10,12.5100622177124,70.2289733886719
3,0,-41.416666666406,-12.0833333328149,21.3239574432373,37.8239898681641,302,298,158,11.2276878356934,72.4694213867188
2,0,-39.916666666394,-7.08333333277234,25.7062911987305,101.604309082031,514,112,75,10.4818954467773,73.1490631103516
1,0,-38.916666666386,-11.9166666661468,25.2274169921875,25.2819690704346,273,247,200,8.94177055358887,67.0838241577148
2,0,-38.249999999714,-10.9166666661383,25.5324172973633,41.5266036987305,296,172,246,10.1105632781982,69.6811599731445
3,0,-41.08333333307,-9.58333333279361,26.3702087402344,95.1804428100586,262,145,5,13.557541847229,78.1482009887695
3,0,-38.916666666386,-10.249999999466,24.2072086334229,39.1631355285645,208,181,130,10.9786462783813,69.5169982910156
2,0,-42.249999999746,-9.91666666612979,27.161958694458,93.4410247802734,343,201,2,12.4860420227051,78.0414276123047
1,0,-41.08333333307,-10.0833333327979,23.0389175415039,84.1388168334961,244,229,13,12.27649974823,75.3749084472656
1,0,-39.916666666394,-13.4166666661596,21.9487495422363,21.9414157867432,304,291,216,7.90668773651123,65.1144714355469
